country_name,population,region
Turkmenistan,7057841,Asia
Turks and Caicos Islands,50828,Americas
Tuvalu,10643,Oceania
Uganda,45905417,Africa
Ukraine,32862000,Europe
United Arab Emirates,11294243,Asia
United Kingdom,69281437,Europe
United States,340110988,Americas
United States Minor Outlying Islands,0,Americas
United States Virgin Islands,87146,Americas
Uruguay,3499451,Americas
Uzbekistan,37859698,Asia
Vanuatu,321409,Oceania
Vatican City,882,Europe
Venezuela,28517000,Americas
Vietnam,101343800,Asia
Wallis and Futuna,11620,Oceania
Western Sahara,600904,Africa
Yemen,32684503,Asia
Zambia,19693423,Africa
Zimbabwe,17073087,Africa
Åland Islands,30654,Europe
